Artist,Title,Text
Sidhu Moose Wala,295,"
Dass putt tera head down kaston

Tell me, son, why do you hang your head?

Changa bhala hassda si maun kaston  

You use to be so jolly then why are you silent, now  

Aa jehde darwaje vich board chakki khade aa

Those standing at the doorstep holding signs

Main changi tarah jaanda aa kaun kaston  

I know who and why they are here  

Kuch aithe chandi chamkauna chaunde ne 

Some want to shine their silver   

Kuch tainu fadd thalle launa chaunde ne  

Some want to pull you down  

Kuch ek aaye aithe bukhe fame de  

A few came here hungry for fame  

Naam laike tera agge aune chaunde ne  

They want to use your name to get ahead 

Museebat taan mardhan te paindi rehndi ae

Men endure many hardships in life   

Dabi na tu duniya sawaad laindi ae

Don’t lose hope, the world takes pleasure in that    

Naale jehde raste te tu turreyan 

And on the path which you have taken  

Aithe badnami high rate milugi  

Here, you will encounter slander frequently  

‍

Chorus:

Nit controversy create milugi  

People will constantly try to create controversy

Dharma de naam te debate milugi  

You will get in religious debates

Sach bolega taan milu 295 

If you will speak the truth, you’ll get a 295  

Je karega tarakki putt hate milugi  

If you work hard and gain success, you’ll get hate

‍

Verse 2:

Nit controversy create milugi  

People will constantly try to create controversy

Dharma de naam te debate milugi  

You will get in religious debates

Sach bolega taan milu 295 

If you will speak the truth, you’ll get a 295  

Je karega tarakki putt hate milugi  

If you work hard and gain success, you’ll get hate

Ajj kayi bachaun sabyachar jut ke

Today, many got together to save the culture    

Jana khana dinda ae vichar uth ke 

Everyone is gives their opinion   

Injh lagge rabb jivein hath khade kar gaya 

It feels like God has given up   

Parhdha jadon subah akhbar uth ke  

When I read the morning newspaper 

Chup reh oh puttran ni bhed kholide 

Stay quiet, my boy don’t disclose your secrets  

Leader ne aithe haqdar goli de  

Here, leaders deserve to be shot

Ho jinna de jawaka de na John te Steve aa

Those with children named are ‘John’ and ‘Steve’    

Rakhe baney phirde oh maa boli de 

They’ve now become saviors of the mother language [Punjabi] 

Oh jhooth naiyo aithon de fact ae vi ne

No lies, the fact is that  

Chor bande urron de samajsevi ne 

Here, all the civil servants are thieves

Sach wala baana paa jo log lutt’de

They claim to be innocent, good people, but steal from others   

Sajja enna nu vi chheti wait milugi  

They will be served justice soon  

‍

Chorus:

Nit controversy create milugi  

People will constantly try to create controversy

Dharma de naam te debate milugi  

You will get in religious debates

Sach bolega taan milu 295 

If you will speak the truth, you’ll get a 295  

Je karega tarakki putt hate milugi  

If you work hard and gain success, you’ll get hate

‍

Verse 3:

Nit controversy create milugi  

People will constantly try to create controversy

Dharma de naam te debate milugi  

You will get in religious debates

Sach bolega taan milu 295 

If you will speak the truth, you’ll get a 295  

Je karega tarakki putt hate milugi  

If you work hard and gain success, you’ll get hate

Oh lok vatte maarde aa bhare rukhan te 

People throw stones on fruit trees [creative people]  

Minta vich paunch jaande maa’wan kukhan de

In a minute, they will insult your mother’s womb

Kaun kutta kaun dhalla kanjar ae kaun 

Who is a dog, who is a pimp, who is a whore

Aithe certificate den Facebook’an te  

These certificates are given out on Facebook  

Leader banown deke aata ehna nu 

Leaders gain election by giving flour to the public 

Vote’an laike maarde chapata enna nu

After getting votes, slap their constituents

Pata nahi zameer ohdon kithe hundi ae

I don’t know where their consciousness goes  

Saale bolde ni sharam da ghata enna nu  

These scoundrels are shameless and won’t admit their betrayal

Digde nu den log taadi rakhke

People laugh when seeing someone fail 

Oh kadh de kayi gaala aithe dhadi rakh ke

Even with a full beard [wisdom] they insult others  

Oh teri atey ohdi maa ch fark ae ki

What is the difference between your and his (any) mother    

Akkal ehna nu thodi late milugi  

They will take a while to become wise  

‍

Chorus:

Nit controversy create milugi  

People will constantly try to create controversy

Dharma de naam te debate milugi  

You will get in religious debates

Sach bolega taan milu 295 

If you will speak the truth, you’ll get a 295  

Je karega tarakki putt hate milugi  

If you work hard and gain success, you’ll get hate

‍

Verse 4:

Nit controversy create milugi  

People will constantly try to create controversy

Dharma de naam te debate milugi  

You will get in religious debates

Sach bolega taan milu 295 

If you will speak the truth, you’ll get a 295  

Je karega tarakki putt hate milugi  

If you work hard and gain success, you’ll get hate

Tu hunn tak agge tere dum karke 

You reached this success with your determination

Aithe photo ni khichaunda koyi chamm karke 

No one takes photos with you for your nice skin 

Kaun kinna rabb ch yakeen rakhda 

Who and how much does one believe in God   

Lok karde ae judge ohde kamm karke  

People judge it by your work  

Tu jhukeya zaroor hoya kodda taan nahi 

You’ve stumbled but have not fallen on your knees

Pagg tere sir te tu roddan taan nahi  

You too wear a turban and have not cut your hair

Ik gal puch enna thekedar’an nu

Ask one thing from these contractors of religion   

Sadda vi ae panth kalla thodda taan ni  

It’s our religion [Sikhism] too and not yours exclusively

Oh gandiyan siyasatan nu dilon kadh do

Remove the bad politics from your hearts    

Ho kise nu taan guru ghar jogga chhad do

At least allow someone to visit the gurudwara, in peace

Ho kise bache sir nahio kes labhne

Or else, you will not find kesh on any child’s head 

Nai taan thonnu chheti aisi date milugi  

That date will come soon  

‍

Chorus:

Nit controversy create milugi  

People will constantly try to create controversy

Dharma de naam te debate milugi  

You will get in religious debates

Sach bolega taan milu 295 

If you will speak the truth, you’ll get a 295  

Je karega tarakki putt hate milugi  

If you work hard and gain success, you’ll get hate

‍

Verse 5:

Nit controversy create milugi  

People will constantly try to create controversy

Dharma de naam te debate milugi  

You will get in religious debates

Sach bolega taan milu 295 

If you will speak the truth, you’ll get a 295  

Je karega tarakki putt hate milugi  

If you work hard and gain success, you’ll get hate

Media kayi bann baithe ajj de gawaar

Some mindless people have been running the media houses 

Ikko jhooth bolde aa oh vi baar baar

They repeat the same lie again and again   

Baith ke jananiya naal karde aa chugliyan

They sit and gossip with the ladies

Te show da naam rakhde aa “Chajj da Vichar”  

And keep the title of the show “Chajj da Vichar”

Shaam te sawere bhaal de vivad ne

Morning and evening they seek controversy   

Aivein tere naal karde fasaad ne

Without reason they quarrel with you   

24 ghante naale neend de prahune nu 

24/7 they criticize the brother-in-law [the boss aka Sidhu]

Naale ohde kalle kalle geet yaad ne  

Yet they remember lyrics from all your songs  

Bhavein aukhi hoyi ae crowd tere te 

Even if the crowd is harsh on you  

Bolde ne aivein saale loud tere te 

And shout at you for no reason 

Par ik gall rakhi meri yaad puttra

Remember one thing, son   

Aaha bapu tera bada aa proud tere te  

Your father is very proud of you 

Tu dabb gaya duniya ne veham paaleya

People have the illusion that they’ve crushed you

Uth putt jhoteya oye moose waleya

Get up my bull [strong] son, Moose Wala!  

Je aivein reha geetan vich sach bolda

If you keep telling the truth like this in your songs  

Aaun wali peedi educate milugi  

You will find the new generation educated

‍

Chorus:

Nit controversy create milugi  

People will constantly try to create controversy

Dharma de naam te debate milugi  

You will get in religious debates

Sach bolega taan milu 295 

If you will speak the truth, you’ll get a 295  

Je karega tarakki putt hate milugi  

If you work hard and gain success, you’ll get hate

‍

Nit controversy create milugi  

People will constantly try to create controversy

Dharma de naam te debate milugi  

You will get in religious debates

Sach bolega taan milu 295 

If you will speak the truth, you’ll get a 295  

Je karega tarakki putt hate milugi  

If you work hard and gain success, you’ll get hate"
Padmanabh Gaikwad/Avadhoot Gandhi/SK Production,Chakar Shivbacha Honar,"""We, the inhabitants of the mountains, will become servants of Shiva. Dhru. The saffron flag will be spread on the ground. Then the enemy will strike. We will fight. We will become servants of Shiva. 1. We, the inhabitants of the mountains, will become servants of Shiva. Tanaji was a great hero. Pattha fell while fighting. But he will not give up. 2. We will become servants of Shiva. We, the inhabitants of the mountains, will become servants of Shiva. Santaji Dhanaji is seen in the battle. The enemy will flee when he sees his reflection. He will not drink water. 3. We, the inhabitants of the mountains, will become servants of Shiva. Bajirao, that great hero. He fought for the grain of the field. Pattha will leave his horse running. 4. We, the inhabitants of the mountains, will become servants of Shiva. We, the inhabitants of the mountains, will become servants of Shiva. The world is full of people. ""Kripaprasade
Blessings of Shivaraja
We will go, we will go. ॥5॥
Shivaba's servant will be ours
We, the residents of Gadya Dongar, will be ours"""
Dxrk ダーク,RAVE,"[Build up]

[Instrumental]

[Vocal-Chop]
I like Dxrk

[Drop]
Hah, hah-hah, hah-hah, hah-hah, hah-hah
Hah-hah, hah-hah, hah-hah, hah-hah

[Instrumental]
Hah-hah, hah-hah, hah-hah, hah-hah
Hah-hah, hah-hah, hah-hah, hah-hah
Hah-hah, hah-hah, hah-hah, hah-hah
Hah-hah, hah-hah, hah-hah, hah
Hah-hah, hah-hah, hah-hah, hah-hah
Hah-hah, hah-hah, hah-hah, hah

[Instrumental]

[Build-up]
Dxrk

[Drop 2]
Hah, hah-hah, hah-hah, hah-hah, hah-hah
Hah-hah, hah-hah, hah-hah, hah-hah

[Instrumental]
Hah-hah, hah-hah, hah-hah, hah-hah
Hah-hah, hah-hah, hah-hah, hah-hah
Hah-hah, hah-hah, hah-hah, hah-hah
Hah-hah, hah-hah, hah-hah, hah
Hah-hah, hah-hah, hah-hah, hah-hah
Hah-hah, hah-hah, hah-hah, hah"
Ajay-Atul/Ajay Gogavale,Deva Shree Ganesha,"[Chorus]
Deva Shree Ganesha, Deva Shree Ganesha
Deva Shree Ganesha, Deva Shree Ganesha
Deva Shree Ganesha, Deva Shree Ganesha
Deva Shree Ganesha, Deva Shree Ganesha
Deva Shree Ganesha, Deva Shree Ganesha
Deva Shree Ganesha, Deva Shree Ganesha
Deva Shree Ganesha, Deva Shree Ganesha
Deva Shree Ganesha, Deva Shree Ganesha

[Verse 1]
Jwaala si jalti hai aankhon mein
Jiske bhi dil mein tera naam hai
Parwah hi kya uska aarambh kaisa hai
Aur kaisa parinam hai

[Pre-Chorus 1]
Dharti ambar sitaare, uski nazarein utaarein
Dar bhi usse daraa re
Jiski rakhwaliyan re karta saya tera

[Chorus]
Hey Deva Shree Ganesha, Deva Shree Ganesha
Deva Shree Ganesha, Deva Shree Ganesha
Deva Shree Ganesha, Deva Shree Ganesha
Deva Shree Ganesha, Deva Shree Ganesha

[Instrumental-break]

[Verse 2]
Haan, teri bhakti ka vardan hai
Jo kamaaye wo dhanwan hai
Bin kinaare ki kashti hai wo
Deva tujhse jo anjaan hai

Yoon to mooshak sawari teri
Sab pe hai peharedaari teri
Paap ki aandhiyan laakh ho
Kabhi jyoti na haari teri

[Pre-Chorus 2]
Apni takdeer ka wo khud Sikandar hua re
Bhool ke ye jahaan re jis kisi ne yahaan re
Saath paaya tera

[Chorus]
Hey Deva Shree Ganesha, Deva Shree Ganesha
Deva Shree Ganesha, Deva Shree Ganesha
Deva Shree Ganesha, Deva Shree Ganesha
Deva Shree Ganesha, Deva Shree Ganesha

[Instrumental-break]

[Verse 3]
Ho teri dhooli ka teeka kiye
Deva jo bhakt tera jiye
Use amrit ka hai moh kya
Hanske vish ka wo pyaala piye

Teri mahima ke chhaya tale
Kaal ke rath ka pahiya chale
Ek chingari pratishodh se
Khadi Ravan ki Lanka jale

[Pre-Chorus 3]
Shatruon ki kataarein ik akele se haarein
Kan bhi parbat hua re, shlok ban ke jahan re
Naam aaya tera

[Chorus]
Hey Deva Shree Ganesha, Deva Shree Ganesha
Deva Shree Ganesha, Deva Shree Ganesha
Deva Shree Ganesha, Deva Shree Ganesha
Deva Shree Ganesha, Deva Shree Ganesha

[Outro]
Ganpati Bappa Morya

Twameva Mata cha Pita twameva
Twameva Bandhu Sakha twameva
Twameva Vidya Dravinam twameva
Twameva Sarvam mum Dev Deva

Achutam Keshavam Rama Narayanam
Krishna Damodaram Vasudevam Harim
Sridharam Madhavum Gopika Vallabham
Janki naayakam Ramachandram bhaje

Hare Ram, Hare Ram, Ram-Ram Hare-Hare
Hare Krishna, Hare Krishna, Krishna-Krishna Hare-Hare
Hare Ram, Hare Ram, Ram-Ram Hare-Hare
Hare Krishna, Hare Krishna, Krishna-Krishna Hare-Hare"
DG IMMORTALS/Raga/Harjas Harjaayi/VIRTUAL_AF/DARK HORSE,KALESHI CHORI,"[DG IMMORTALS, Raga & Harjas Harjaayi ""KALESHI CHORI"" ft. VIRTUALAF & Dark Horse]

[Intro: DG IMMORTALS]
Yeah, yes girl, you are getting very fast (Huh)

[Pre-Chorus: DG IMMORTALS]
The car is racing past 200
The rain is getting very heavy today
Where will you go, girl?
Madam, the car is chasing you

[Chorus: DG IMMORTALS]
You get scandals done, you are a girl from Kalesh
You get scandals done, you are a girl from Kalesh
Why are your breaths getting faster when you see us?

[Verse 1: DG IMMORTALS]
I showed salt to the car, the girl was stunned to see it
The brakes stopped, the whole road got jammed
You are a girl, you are not naughty, you can drink all the liquor
Your mother's cry was heard, you got angry seeing it
I said, will you agree, will you get me killed?
Will you press one or two under the tyre of the car?
Will you get the horse crushed, carrying the goods of death?
Will you make me commit a sin, will you get 302 imposed on me?

[Verse 2: Harjas Harjaayi]
First I will hit a line, then I will hit a line on you
I am a beggar, I will resign every job
Your body is working, I will pour wine on your head
I will write my name in your heart, I will put a signature on your chest
We rap, we don't rape
We can't see you scared like this
We threw our hearts and ran away, it doesn't take breaks
You and my car, both hit at the same time

[Pre-Chorus: DG IMMORTALS]
The car is crossing 200 and racing
The rain is getting very heavy today
Where will you go, child?
Madam, your car is being chased

[Chorus: DG IMMORTALS]
You want to get a scandal done, you are a girl from trouble
You want to get a scandal done, you are a girl from trouble
Why are you breathing fast on seeing us?

[Verse 3: VIRTUALAF]
If you don't make eye contact with me, then crash the car into each other

Your eyes and nose are covered with perfume

You show off your attitude, but don't tell me you're the babysitter

Delhi's parents, take whatever you want from her mother

We'll roam around after drinking liquor, blowing away worries in smoke

We'll beat you up by playing the woofer loudly

We'll take your life, after spending the night laughing

Leave me on the road, after making me swear on your beauty

[Verse 4: Raga]

Boys talk about me, from your city

I was your father before you

I wouldn't have stopped today without stopping you

You also know that I'm the Nawab of your city

You understood me so much, the heat took over my heart

You killed me, I want to break my bed with you

Many of your friends agree with me, I'm a star brother

My every day is on the weekend, Sunday New

[Verse 5: Dark Horse]
I have a score of five, come and sit with me

I will get your toll passed, I am sitting with five near my house

Five plots, five like yours in front, five behind

I will blow money on you, the car will drive five behind

Five in front of it, 05 (five, five, five)

[Bridge: Dark Horse]

Open your bag, clouds will drink and dance

Open your bag, clouds will drink and dance

[?]

The girl is looking crookedly, are you hiding?

[Pre-Chorus: DG IMMORTALS]

The car is crossing 200, the race is going on

It is raining heavily today

Where will you go, girl?

Madam, the car is chasing you

[Chorus: DG IMMORTALS]

You want to do something, you are a troublemaker

You want to do something, you are a troublemaker

Why are you breathing fast on seeing me?"
Brodha V,Aathma Raama,"[Intro: Brodha V]
Mic check, mic check
Yeah, mic alright
Thanks a lot!
Yo, It’s Brodha V
Some of you might heard of me
I talk about money, I talk about rap music
I talk about getting (?)
But now I’ll talk ‘bout god

[Verse 1: Brodha V]

Back in the time when I was lacking a dime
My hopeless youth had me slowly get attracted to crime
Then sat an alliance to talk it out with practical
Minds
Felt a force within me get all my talents combined
Enacted a mime, enlightened I decided to rhyme
Delighted and excited. I'm planning to rap till I'm
Prime
Started spilling ink on the paper and planned to get
Signed
But the world is biased, so wild, they got me slapped
With a fine
I never got a chance, Never let me spit on the mic
Only cuz I come from a land where people ain't white
Day and night I keep flowing, completing all my demo
Tracks
Inspite being denied the right by anti-democrats
Unleash my rage through Music intense
The cultural shock that got my whole community tensed
That's when I, close my eyes and talk to God
Peace in my head, I'm singing this song and it goes
Like

[Hook]

Aathma Raama Aananda Ramana
Achyutha Keshava Hari Narayana

[Verse 2: Brodha V]

Life is an octopus tryna choke you with tentacles
Survived by only those who prove to be sensible
With only two choices, good and the bad
The hardest part is to be choosing a path, check this
I could've got myself in dealing with drugs
Or maybe pop a weaker person dead while chilling with
Thugs
Maybe, blow up my father's money spending on clothes
Fake an attitude for winning all em feminine votes
One point of time, I got absorbed in foolish lies
Was juvenile, thought it was cool to get into brutal
Fights
I even had the thrilling urge to kill
The next second, the whole feeling reversed to guilt
I was offered a gun, that's when I dropped it for a mic
Took rap as a career and I thought that this was right
I close my eyes and give my thanks to God
Peace in my head , I'm singing this song and it goes
Like

[Hook]

Aathma Raama Aananda Ramana
Achyutha Keshava Hari Narayana

[Verse 3: Brodha V]

I'm being frank and I'm speaking my mind naked
Everyday on my knees, praying to God that I make it
The only hope that keep me going is I know I'm artistic
To levels extreme, my haters agree I'm God-gifted
But that don't mean I lay around like Clinical bait
When its mayhem in my head at such subliminal rate
Cyclic monotony for me is cursed as debt
I'm only halfway through the phase between Birth and
Death
One day, I wish to be like Eminem or 2Pac
And have a million people chanting, Brodha V you rock
And maybe, wish to have a girl like Emma Watson
Or even accept a Grammy on stage while Mama's watching
But till then, I'mma see days when the weather be rough
I better be tough, Brodha V gon' never give up
Now imma, Close my eyes and talk to God
Peace in my head, I'm singing this song and it goes
Like

[Hook]

Aathma Raama Aananda Ramana
Achyutha Keshava Hari Narayana

Aathma Raama Aananda Ramana
Achyutha Keshava Hari Narayana"
Jaymes Young,Infinity,"[Intro]
(Oh, oh)
(Oh, oh, oh)
(Oh, oh)
(Oh, oh, oh)

[Verse 1]
Baby, this love
I'll never let it die
Can't be touched by no one
I'd like to see 'em try
I'm a mad man for your touch, girl, I've lost control
I'm gonna make this last forever, don't tell me it's impossible

[Chorus]
'Cause I love you for infinity (Oh, oh, oh)
I love you for infinity (Oh, oh, oh)
'Cause I love you for infinity (Oh, oh, oh)
I love you for infinity (Oh, oh, oh)

[Drop]

[Verse 2]
Darlin', my soul
You know it aches for yours
And you've been filling this hole
Since you were born, oh
'Cause you're the reason I believe in fate, you're my paradise
And I'll do anything to be your love, I'll be your sacrifice

[Chorus]
'Cause I love you for infinity (Oh, oh, oh)
I love you for infinity (Oh, oh, oh)
'Cause I love you for infinity (Oh, oh, oh)
I love you for infinity (Oh, oh, oh)

[Drop]

[Bridge]
Meet me at the bottom of the ocean
Where the time is frozen
Where all the universes open
Love isn't random, we are chosen
And we could wear the same crown
Keep slowin' your heart down
We are the gods now

[Chorus]
'Cause I love you for infinity (Oh, oh, oh)
I love you for infinity (Oh, oh, oh)
'Cause I love you for infinity (Oh, oh, oh)
I love you for infinity (Oh, oh, oh)

[Drop]
(Oh, oh)
(Oh, oh, oh)
(Oh, oh)
(Oh, oh, oh)
(Oh, oh)
(Ohh)
(Oh, oh)
(Ohh)"
Shubh,No Love,"[Intro]
Ankhan vich surma kaala
Bulla de laare ni
Muh te maskara jhoota
Chober te bhaave ni
Kinne aa piche laaye
Te kinne chaare ni
Gin gin ke dil tod’di
Jeyon tut de taare ni

[Chorus]
Reha ni hune aitbaar, sohniye
Reha ni hune aitbaar
Ehda ni chalde pyaar, sohniye
Ehda ni chalde pyaar
Ehda ni chalde pyaar, sohniye
Ehda ni chalde pyaar

[Post-Chorus]
Ehda ni chalde pyaar
Ehda ni chalde pyaar, sohniye
Ehda ni chalde pyaar

[Verse 1]
Zulfa de jaal tere ni
Khuda da kehar kude
Nain bekaabu tere
Bande aa zehaar kude
Bas ikko manggi rab to
Manggi teri khair kude
Sadda kassoor si kahda
Kaddeya jo vair kude

[Chorus]
Maadi tu kiti behisaab, sohniye
Maadi tu kiti behisaab
Ehda ni chalde pyaar, sohniye
Ehda ni chalde pyaar
Ehda ni chalde pyaar, sohniye
Ehda ni chalde pyaar

[Post-Chorus]
Ehda ni chalde pyaar
Ehda ni chalde pyaar, sohniye
Ehda ni chalde pyaar

[Verse 2]
Ho rang tera chanan warga
Dil kaali raat kude
Thoddi te kaala til jo
Paunda si baat kude
Kakha da karta ni tu
Mangda si saath kude
Aa lai chakk likhan laata
Teri karamaat kude

[Chorus]
Tutti aa adh vichkaar, sohniye
Tutti aa adh vichkaar
Ehda ni chalde pyaar, sohniye
Ehda ni chalde pyaar
Ehda ni chalde pyaar, sohniye
Ehda ni chalde pyaar

[Post-Chorus]
Ehda ni chalde pyaar
Ehda ni chalde pyaar, sohniye
Ehda ni chalde ade pyaar"
AP Dhillon/Gminxr/Gurinder Gill/Shinda Kahlon,Brown Munde,"[Intro]
Gminxr!

[Verse 1: Gurinder Gill]
Lambo truck vich gedi sutti Hollywood
Geet Desi mundeya de sune Bollywood
Music di wave aa naa bhalde koi fave aa
Te gauna vi aaunda te lyrics ae

[Pre-Chorus: Gurinder Gill]
Change jehde chalde si, kise ton na thalde si
Ohna da banaunde aa clown munde
Brown Munde

[Chorus: Gurinder Gill]
O desi je geet aa
Trap ji beat aa
Sir Kadd Gajj de
Speakeran ch vajjde brown munde
Brown Munde
O desi je geet aa
Trap ji beat aa
Sir Kadd Gajj de
Speakeran ch vajjde brown munde
Brown Munde

[Verse 2: AP Dhillon]
O Balmain di jean aa, life haseen aa
Raat'an Rangeen aa, chobbar shokeen aa
Cup'an ch lean aa, gallan to mean aa
Kayi naaraa'n dе message chhade kar seen aa

[Pre-Chorus: AP Dhillon]
Pakkе taraak aa, na udd'de jawak aa
Daaru ch karde drown munde
Brown Munde

[Chorus: AP Dhillon]
Desi je geet aa
Trap ji beat aa
Sir Kadd gajj de
Speakeran ch vajjde brown munde
Brown Munde (Majhe aale)
O Desi je geet aa
Trap ji beat aa
Sir Kadd Gajj de
Speakeran ch vajjde brown munde
Brown Munde

[Verse 3: Shinda Kahlon]
Fordan to G Class
Bhaana to mote stack
Karde na game lack
Brown Brown Munde Brown Munde
Mind te beach hathan ch reach
Budde hoya nu kai kuchh kita ae teach
Asi karde aan apni te lok kehnde preach!
Saade aa apne aa contract te aap keete breach

[Pre-Chorus: Shinda Kahlon]
Laggi full mauj aa stir kiti sauce aa
Karaunde buzz down munde
(Karaunde buzz down munde)
Brown Munde (Brown Munde, Brown Munde)

[Chorus: Shinda Kahlon]
O desi je geet aa
Trap ji beat aa
Sir Kadd Gajj de
Speakeran ch vajjde brown munde
Brown Munde

[Verse 4: Gurinder Gill]
(Lets go)
O gutt te aa venty aa, na note'an di ginti aa
Time saade kol aa te lok hoye anti aa
Yaari di guarantee aa, loki te senti aa
Duniya ae labhdi aa te naaran vi senti aa

[Pre-Chorus: Gurinder Gill]
Shinde kole aaj
Ena kal jana LA te parso nu
Bag'an ch cash leke hone
Capetown munde
Brown Munde

[Chorus: Gurinder Gill]
O desi je geet aa
Trap ji beat aa
Sir Kadd Gajj de
Speakeran ch vajjde brown munde
Brown Munde
O desi je geet aa
Trap ji beat aa
Sir Kadd Gajj de
Speakeran ch vajjde brown munde
Brown Munde

[Verse 5: AP Dhillon]
O yaar bhavein thode aa, yakke hi jode aa
Mithe na bann de eh, bullan ton kaude aa
Lambe hi dhaude aa, hikkan ton chaude aa
Mukkdi aa gall ena dabban'ch ghode aa

[Pre-Chorus: AP Dhillon]
Diamond de piece ne
Crore’an di cheez ne
Honde kithe down munde
Brown Munde

[Chorus: AP Dhillon]
O desi je geet aa
Trap ji beat aa
Sir Kadd Gajj de
Speakeran ch vajjde brown munde
Brown Munde
O desi je geet aa
Trap ji beat aa
Sir Kadd Gajj de
Speakeran ch vajjde brown munde
Brown Munde
O desi je geet aa
Trap ji beat aa
Sir Kadd Gajj de
Speakeran ch vajjde brown munde
Brown Munde (Brown Munde)
O desi je geet aa
Trap ji beat aa
Brown Munde"
